"sub","session","n","modality","prt","dprime","accuracy","sex","group"
"sub-01",1,1,"audio",1.18397,4.04027075969534,90.2333333333333,"Female","Control"
"sub-01",1,2,"audio",1.16635333333333,3.47567411175987,82.25,"Female","Control"
"sub-01",2,1,"audio",1.08100333333333,4.13792000638037,88.25,"Female","Control"
"sub-01",2,2,"audio",1.20208,3.40959679972958,81.25,"Female","Control"
"sub-01",3,1,"audio",1.14746333333333,3.20237411289628,86.2333333333333,"Female","Control"
"sub-01",3,2,"audio",1.19762,3.53520280266817,86.2416666666667,"Female","Control"
"sub-01",4,1,"audio",1.23013666666667,2.70399043465984,85.2166666666667,"Female","Control"
"sub-01",4,2,"audio",1.22474,3.20237411289628,86.2333333333333,"Female","Control"
"sub-02",1,1,"audio",1.08601333333333,3.8437894080113,88.2416666666667,"Male","Control"
"sub-02",1,2,"audio",1.59889666666667,2.21614454123314,85.1833333333333,"Male","Control"
"sub-02",2,1,"audio",1.02808,4.13792000638037,88.25,"Male","Control"
"sub-02",2,2,"audio",1.02998333333333,3.51096071823941,88.2333333333333,"Male","Control"
"sub-02",3,1,"audio",1.02826,3.20237411289628,86.2333333333333,"Male","Control"
"sub-02",3,2,"audio",1.42806,2.73778806307703,88.1916666666667,"Male","Control"
"sub-02",4,1,"audio",0.935276666666667,3.72126405220803,85.25,"Male","Control"
"sub-02",4,2,"audio",1.22476333333333,3.51096071823941,88.2333333333333,"Male","Control"
"sub-04",1,1,"audio",1.02981666666667,3.42713345383897,85.2416666666667,"Female","Control"
"sub-04",1,2,"audio",1.22064333333333,1.89186287303491,79.1916666666667,"Female","Control"
"sub-04",2,1,"audio",0.9969,3.8437894080113,88.2416666666667,"Female","Control"
"sub-04",2,2,"audio",1.18795666666667,3.12064638883217,88.2166666666667,"Female","Control"
"sub-04",3,1,"audio",0.856446666666667,4.41459318549596,89.25,"Female","Control"
"sub-04",3,2,"audio",1.33580333333333,2.1892501111478,82.2,"Female","Control"
"sub-04",4,1,"audio",0.680943333333333,4.6672300478363,90.25,"Female","Control"
"sub-04",4,2,"audio",0.952386666666667,3.33500058185994,87.2333333333333,"Female","Control"
"sub-05",1,1,"audio",1.18020666666667,2.70173063481557,83.225,"Female","Experimental"
"sub-05",1,2,"audio",1.25861,2.22154323327357,78.2166666666667,"Female","Experimental"
"sub-05",2,1,"audio",1.15893666666667,3.6499564302881,90.2166666666667,"Female","Experimental"
"sub-05",2,2,"audio",1.14996,3.00217189208805,84.2333333333333,"Female","Experimental"
"sub-05",3,1,"audio",0.93857,3.53520280266817,86.2416666666667,"Female","Experimental"
"sub-05",3,2,"audio",0.895976666666667,4.1204625871269,89.2416666666667,"Female","Experimental"
"sub-05",4,1,"audio",0.76147,4.41459318549596,89.25,"Female","Experimental"
"sub-05",4,2,"audio",1.18317666666667,3.12064638883217,88.2166666666667,"Female","Experimental"
"sub-06",1,1,"audio",0.989286666666667,3.8437894080113,88.2416666666667,"Male","Experimental"
"sub-06",1,2,"audio",1.47775333333333,2.43484005159597,85.2,"Male","Experimental"
"sub-06",2,1,"audio",0.893023333333333,3.51096071823941,88.2333333333333,"Male","Experimental"
"sub-06",2,2,"audio",0.91135,3.12064638883217,88.2166666666667,"Male","Experimental"
"sub-06",3,1,"audio",0.794033333333333,3.51096071823941,88.2333333333333,"Male","Experimental"
"sub-06",3,2,"audio",0.596806666666667,4.41459318549596,89.25,"Male","Experimental"
"sub-06",4,1,"audio",0.95196,3.6499564302881,90.2166666666667,"Male","Experimental"
"sub-06",4,2,"audio",0.723823333333333,4.13792000638037,88.25,"Male","Experimental"
"sub-07",1,1,"audio",1.25344,2.22899923692567,84.1916666666667,"Male","Experimental"
"sub-07",1,2,"audio",1.54252,1.43128061148201,82.1333333333333,"Male","Experimental"
"sub-07",2,1,"audio",0.906076666666667,3.82933340103724,86.25,"Male","Experimental"
