sub,session,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
LB005,1,1,2,2,2,2,2,2,2,1,2,2,2,3,3,3,2,2,2,2,2
LB005,2,1,2,2,3,2,2,2,3,2,3,2,3,2,2,3,3,3,2,2,2
LB005,3,1,2,3,3,3,3,2,1,2,3,2,3,3,3,3,2,3,3,3,3
LB005,4,1,2,2,2,2,3,4,3,2,2,3,3,3,2,1,2,3,3,4,3
LB005,5,1,2,2,3,3,3,2,2,3,3,3,3,3,3,3,3,4,4,3,3
LB005,6,1,2,2,2,3,4,4,4,3,4,4,4,3,3,3,3,4,3,3,3
LB005,7,1,2,3,3,2,2,2,2,2,3,2,2,2,3,3,3,2,1,1,1
LB005,8,1,2,3,3,3,3,2,3,4,4,4,4,4,3,3,3,3,3,3,3
LB005,9,1,2,3,4,3,3,4,4,4,3,4,3,2,3,4,4,3,2,2,3
LB005,10,1,2,3,3,3,4,3,2,3,3,2,3,3,3,3,3,3,3,3,3
LB005,11,1,2,2,3,3,3,3,3,4,4,5,5,5,5,5,4,4,4,4,3
LB005,12,1,2,3,4,4,4,5,5,5,5,5,4,3,3,3,3,3,3,3,3
LB005,13,1,2,3,4,4,4,5,6,6,5,5,5,5,4,5,4,3,3,4,5
LB005,14,1,2,3,3,3,3,2,3,4,4,4,3,3,3,3,3,4,4,4,4
LB005,15,1,2,3,4,3,3,3,4,4,4,4,4,4,3,3,4,5,5,5,5
LB005,16,1,2,3,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,3,3
LB005,17,1,2,3,3,3,3,4,5,5,5,4,3,4,5,4,3,3,3,3,4
LB005,18,1,2,3,3,3,3,4,4,3,3,3,4,4,4,4,5,5,5,4,4
LB006,1,1,2,2,2,3,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2
LB006,2,1,2,2,2,2,2,2,3,3,4,4,3,2,3,2,3,3,3,3,3
LB006,3,1,2,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3
LB006,4,1,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3
LB006,5,1,2,3,3,3,4,3,3,3,3,4,4,4,4,4,4,3,4,4,4
LB006,6,1,2,3,3,3,3,3,4,4,4,3,3,4,4,4,4,5,5,4,4
LB006,7,1,2,3,4,4,4,3,3,3,4,3,3,4,4,4,4,4,4,4,3
LB006,8,1,2,3,4,3,4,4,3,3,2,2,3,3,3,4,4,3,3,3,4
LB006,9,1,2,3,3,3,4,5,4,4,4,3,2,3,2,3,4,4,4,4,4
LB006,10,1,2,2,3,3,3,3,3,4,5,4,4,4,5,4,4,5,5,4,4
LB006,11,1,2,3,3,3,3,4,4,3,4,4,4,5,6,6,5,4,4,4,5
LB006,12,1,2,3,3,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4
