"sub","nback_mean_estimate","nback_max_estimate","nback_baseline","nback_max_level"
"sub-05",0.0844169246646026,0.118679050567595,2.05,6
"sub-06",0.106656346749226,0.169246646026832,2.1,7
"sub-11",0.112074303405573,0.137254901960784,2,5
"sub-14",0.0517543859649123,0.0567595459236326,2.1,4
"sub-16",0.0569659442724458,0.0794633642930856,1.85,4
"sub-18",0.0908152734778121,0.140350877192982,2.05,7
"sub-19",-0.00386996904024772,0.00206398348813208,1.7,3
"sub-21",0.0431372549019608,0.063983488132095,2.25,4
"sub-23",0.110113519091847,0.140350877192982,1.95,5
"sub-24",0.125851393188854,0.147574819401445,2.3,6
"sub-27",0.0479360165118679,0.0639834881320949,1.5,4
"sub-29",0.0620743034055728,0.0825593395252837,2.2,6
"sub-33",0.0829205366357069,0.106295149638803,2.05,6
"sub-07",0.00397316821465426,0.0196078431372549,2.3,5
"sub-39",0.0871517027863777,0.105263157894737,2.05,5
"sub-44",0.0674922600619195,0.0918472652218782,2.25,6
"sub-45",0.0884416924664603,0.117647058823529,2.25,5
"sub-47",0.107481940144479,0.143446852425181,3.25,7
"sub-48",0.056140350877193,0.0825593395252838,1.75,4
"sub-51",0.0470072239422085,0.0577915376676986,1.85,6
"sub-52",0.0335913312693498,0.0247678018575851,1.5,3
"sub-54",0.0323529411764706,0.00619195046439624,1.9,4
"sub-56",0.0512899896800825,0.0763673890608874,2.15,6
